scenario,branch,period,region,capacity_gw,clearing_price_usd_per_kw
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,2025,ch,931.0,163.32399999847505
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,2025,eu,22.0,290.63871159348855
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,2025,us,42.0,397.48715945405235
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,2025,apac,110.0,187.45799966764878
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,2025,af,3.4,316.23822836567723
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,2025,row,293.0,351.93627443634364
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,2030,ch,360.54939528399814,107.79092381857619
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,2030,eu,35.01769805240774,261.6210509230561
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,2030,us,63.82646584949353,259.42258772799363
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,2030,apac,172.60604968814067,140.14706274911487
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,2030,af,5.897279022067162,261.5250698352833
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,2030,row,126.7520717963373,232.97593868783696
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,2035,ch,360.3410657890922,95.90883461387698
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,2035,eu,48.23316081072346,224.96517326176973
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,2035,us,89.64592902562379,220.83979154160912
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,2035,apac,179.64998290779718,110.01520870078565
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,2035,af,8.394558044142192,241.83637116366103
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,2035,row,126.57351808214337,207.23682711989176
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,2040,ch,360.0132364621108,86.65125722071389
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,2040,eu,61.32062805461521,352.63100344050315
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,2040,us,97.1457820711997,287.257963044852
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,2040,apac,184.0629523038032,99.41154579136577
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,2040,af,10.891837066217228,307.64736368894205
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,2040,row,125.99930136813947,187.26171910250238
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a030,2025,ch,931.0,163.3239999983336
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a030,2025,eu,22.0,283.2465316234694
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a030,2025,us,42.0,288.8809197058529
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a030,2025,apac,110.0,198.380290371924
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a030,2025,af,3.4,337.97860697397795
