scenario,branch,region,discounted_welfare_musd
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,ch,4034601.6604264965
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,eu,1940890.3161874127
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,us,657077.2904502861
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,apac,1201071.775983857
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,af,465382.0642565504
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,row,1524746.989825904
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,ALL,9823770.097130507
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a030,ch,4028424.7240457777
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a030,eu,1903338.3162252365
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a030,us,705773.5848787476
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a030,apac,1157148.2847956861
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a030,af,463367.54151592735
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a030,row,1553660.8095772176
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a030,ALL,9811713.261038592
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a040,ch,4119175.729360106
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a040,eu,1910286.7577980165
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a040,us,727595.1277422706
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a040,apac,1097479.5609479672
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a040,af,436543.2887776614
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a040,row,1575033.015356153
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a040,ALL,9866113.479982175
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,ch,4102742.9699113225
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,eu,1900141.1761347149
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,us,748257.9715999133
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,apac,1108660.3485161646
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,af,449672.0503872733
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,row,1532935.2016898321
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,ALL,9842409.71823922
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,ch,4141530.61271985
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,eu,1967430.5091792634
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,us,713735.4169457385
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,apac,1209092.6548528576
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,af,471737.72295825114
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,row,1522795.3509187216
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,ALL,10026322.267574683
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,ch,3989939.5178635977
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,eu,1833016.8068068686
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,us,728548.6868086042
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,apac,1168081.4348924342
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,af,453087.9311006868
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,row,1597766.0619435147
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,ALL,9770440.439415706
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,ch,4141597.4661072968
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,eu,1972757.6408267708
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,us,708809.433417642
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,apac,1207445.838489326
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,af,471991.0971903475
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,row,1523429.9339945093
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,ALL,10026031.410025893
