candidate,candidate_code,figure_code,order,branch,family,pc1_score,pc2_score
ch-af-apac-eu-row-us/pf080_k050_a040,CH-pf080_k050_a040,C01,CH-first,pf080_k050_a040,Family 3,3.307690975,-0.3272528895
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,C02,CH-first,pf080_k100_a030,Family 3,1.124229872,-1.166896663
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,C03,CH-first,pf080_k100_a040,Family 2,5.767004358,-6.274339363
ch-af-apac-eu-row-us/pf100_k050_a040,CH-pf100_k050_a040,C04,CH-first,pf100_k050_a040,Family 3,3.117370579,0.03373905149
ch-af-apac-eu-row-us/pf100_k100_a030,CH-pf100_k100_a030,C05,CH-first,pf100_k100_a030,Family 4,-7.273837997,-2.483974581
ch-af-apac-eu-row-us/pf100_k100_a040,CH-pf100_k100_a040,C06,CH-first,pf100_k100_a040,Family 2,6.132514501,-1.075485514
ch-af-apac-eu-row-us/pf120_k050_a030,CH-pf120_k050_a030,C07,CH-first,pf120_k050_a030,Family 4,-5.873166065,-1.291849371
ch-af-apac-eu-row-us/pf120_k050_a040,CH-pf120_k050_a040,C08,CH-first,pf120_k050_a040,Family 4,-4.531097516,-0.3248086257
ch-af-apac-eu-row-us/pf120_k100_a030,CH-pf120_k100_a030,C09,CH-first,pf120_k100_a030,Family 4,-7.030519265,-2.798313776
ch-af-apac-eu-row-us/pf120_k100_a040,CH-pf120_k100_a040,C10,CH-first,pf120_k100_a040,Family 4,-2.825185917,0.290020874
af-eu-us-apac-row-ch/pf080_k050_a030,AF-pf080_k050_a030,C11,AF-first,pf080_k050_a030,Family 3,-1.47403948,-0.1414272779
af-eu-us-apac-row-ch/pf080_k050_a040,AF-pf080_k050_a040,C12,AF-first,pf080_k050_a040,Family 3,1.423300221,0.9750332224
af-eu-us-apac-row-ch/pf100_k050_a030,AF-pf100_k050_a030,C13,AF-first,pf100_k050_a030,Family 3,4.148769338,0.6383709917
af-eu-us-apac-row-ch/pf100_k050_a040,AF-pf100_k050_a040,C14,AF-first,pf100_k050_a040,Family 3,1.058796059,2.776745614
af-eu-us-apac-row-ch/pf100_k100_a030,AF-pf100_k100_a030,C15,AF-first,pf100_k100_a030,Family 3,1.027099043,2.596479705
af-eu-us-apac-row-ch/pf100_k100_a040,AF-pf100_k100_a040,C16,AF-first,pf100_k100_a040,Family 3,0.9783358363,2.378166003
af-eu-us-apac-row-ch/pf120_k050_a030,AF-pf120_k050_a030,C17,AF-first,pf120_k050_a030,Family 4,-2.754567961,0.4892032349
af-eu-us-apac-row-ch/pf120_k100_a030,AF-pf120_k100_a030,C18,AF-first,pf120_k100_a030,Family 4,-5.107974429,-0.980180093
af-eu-us-apac-row-ch/pf120_k100_a040,AF-pf120_k100_a040,C19,AF-first,pf120_k100_a040,Family 3,-1.257289399,2.939267169
eu-us-af-row-apac-ch/pf080_k050_a030,EU-pf080_k050_a030,C20,EU-first,pf080_k050_a030,Family 4,-3.172598155,-2.740512409
eu-us-af-row-apac-ch/pf080_k050_a040,EU-pf080_k050_a040,C21,EU-first,pf080_k050_a040,Family 3,1.944835602,1.396745297
eu-us-af-row-apac-ch/pf100_k050_a030,EU-pf100_k050_a030,C22,EU-first,pf100_k050_a030,Family 3,2.581315115,0.6414131873
eu-us-af-row-apac-ch/pf100_k050_a040,EU-pf100_k050_a040,C23,EU-first,pf100_k050_a040,Family 3,0.6139521141,1.908207298
eu-us-af-row-apac-ch/pf100_k100_a030,EU-pf100_k100_a030,C24,EU-first,pf100_k100_a030,Family 3,0.6306833909,2.24376691
eu-us-af-row-apac-ch/pf100_k100_a040,EU-pf100_k100_a040,C25,EU-first,pf100_k100_a040,Family 3,2.296486351,2.145365357
eu-us-af-row-apac-ch/pf120_k050_a030,EU-pf120_k050_a030,C26,EU-first,pf120_k050_a030,Family 3,-0.7558355027,1.492956992
eu-us-af-row-apac-ch/pf120_k050_a040,EU-pf120_k050_a040,C27,EU-first,pf120_k050_a040,Family 1,10.40300071,-3.189826105
eu-us-af-row-apac-ch/pf120_k100_a040,EU-pf120_k100_a040,C28,EU-first,pf120_k100_a040,Family 4,-4.499272381,-0.1506143721
