metric,metric_label,formulation,n_accepted_branch_outcomes,min,p10,p25,median,mean,p75,p90,max
total_capacity_2040_gw,Total capacity 2040 (GW),previous_objective,16,782.2388376,794.06564,804.2906715,820.872456,853.0902298,864.9612018,881.0555915,1246.171862
total_capacity_2040_gw,Total capacity 2040 (GW),clean_objective,27,778.6764217,821.6644948,830.7515389,857.8710398,867.3527741,891.7329361,935.0358206,973.1675213
demand_weighted_price_2040_usd_per_kw,Demand-weighted price 2040 (USD/kW),previous_objective,16,106.8349247,127.2104996,129.3835461,130.2064775,133.8406018,136.8851868,150.6685263,160.251646
demand_weighted_price_2040_usd_per_kw,Demand-weighted price 2040 (USD/kW),clean_objective,27,124.0049991,132.5397425,137.2501647,142.3574453,149.6223311,152.426248,169.0925634,216.9287945
cross_border_trade_2040_gw,Cross-border trade 2040 (GW),previous_objective,16,275.4159915,275.757523,278.8550287,283.3586807,283.050725,287.3767521,289.4753595,290.9999314
cross_border_trade_2040_gw,Cross-border trade 2040 (GW),clean_objective,27,62.72759207,65.91394646,70.80044719,152.1639367,143.2232053,192.251431,225.5055916,290.9999999
average_total_capacity_2025_2040_gw,Horizon-average total capacity (GW),previous_objective,16,843.4854105,846.0670177,852.3340223,861.8244697,891.6900611,897.987229,910.1413211,1232.067327
average_total_capacity_2025_2040_gw,Horizon-average total capacity (GW),clean_objective,27,850.7306107,876.3177347,891.388557,905.6434983,916.3725029,936.7984364,970.6729978,998.3211262
average_demand_weighted_price_2025_2040_usd_per_kw,Horizon-average demand-weighted price (USD/kW),previous_objective,16,129.3719089,147.4075868,154.5629722,155.2911819,154.7165184,160.4062102,161.862593,163.2234838
average_demand_weighted_price_2025_2040_usd_per_kw,Horizon-average demand-weighted price (USD/kW),clean_objective,27,154.9427942,160.3561778,161.982452,168.7902779,170.8275747,176.1568197,180.0827999,214.1353021
