candidate,candidate_code,sequence,order,branch,origin,price_factor,capacity_weight,damping,selected_sweep,max_gain_percent,limiting_player,multistart_status,region,region_label,year,capacity_gw,price_usd_per_kw,demand_gw,domestic_output_gw,imports_gw,exports_gw,import_share
ch-af-apac-eu-row-us/pf080_k050_a040,CH-pf080_k050_a040,ch-af-apac-eu-row-us,CH-first,pf080_k050_a040,clean_objective_stage2,0.8,0.5,0.4,12,0.6249764404,apac,one_start_only,ch,China,2025,931,163.324,324,323.9999999,5.956417568e-08,84.99999532,1.838400484e-10
ch-af-apac-eu-row-us/pf080_k050_a040,CH-pf080_k050_a040,ch-af-apac-eu-row-us,CH-first,pf080_k050_a040,clean_objective_stage2,0.8,0.5,0.4,12,0.6249764404,apac,one_start_only,af,Africa,2025,3.4,316.2382284,9.999999998,5.992786637e-09,9.999999992,3.399999989,0.9999999994
ch-af-apac-eu-row-us/pf080_k050_a040,CH-pf080_k050_a040,ch-af-apac-eu-row-us,CH-first,pf080_k050_a040,clean_objective_stage2,0.8,0.5,0.4,12,0.6249764404,apac,one_start_only,eu,EU,2025,22,290.6387116,75,5.150312462e-09,74.99999999,21.99999999,0.9999999999
ch-af-apac-eu-row-us/pf080_k050_a040,CH-pf080_k050_a040,ch-af-apac-eu-row-us,CH-first,pf080_k050_a040,clean_objective_stage2,0.8,0.5,0.4,12,0.6249764404,apac,one_start_only,us,US,2025,42,397.4871595,44.99999999,8.610060569e-08,44.99999991,41.9999999,0.9999999981
ch-af-apac-eu-row-us/pf080_k050_a040,CH-pf080_k050_a040,ch-af-apac-eu-row-us,CH-first,pf080_k050_a040,clean_objective_stage2,0.8,0.5,0.4,12,0.6249764404,apac,one_start_only,apac,APAC,2025,110,187.4579997,50,8.000000122,41.99999987,64.5999999,0.8399999975
ch-af-apac-eu-row-us/pf080_k050_a040,CH-pf080_k050_a040,ch-af-apac-eu-row-us,CH-first,pf080_k050_a040,clean_objective_stage2,0.8,0.5,0.4,12,0.6249764404,apac,one_start_only,row,ROW,2025,293,351.9362744,45,8.443624854e-07,44.99999915,3.882147282e-06,0.9999999812
ch-af-apac-eu-row-us/pf080_k050_a040,CH-pf080_k050_a040,ch-af-apac-eu-row-us,CH-first,pf080_k050_a040,clean_objective_stage2,0.8,0.5,0.4,12,0.6249764404,apac,one_start_only,ch,China,2030,360.5493953,107.7909238,350,350,1.130342836e-08,6.391306954e-09,3.229550959e-11
ch-af-apac-eu-row-us/pf080_k050_a040,CH-pf080_k050_a040,ch-af-apac-eu-row-us,CH-first,pf080_k050_a040,clean_objective_stage2,0.8,0.5,0.4,12,0.6249764404,apac,one_start_only,af,Africa,2030,5.897279022,261.5250698,14,2.872148756e-08,13.99999997,5.897278991,0.9999999979
ch-af-apac-eu-row-us/pf080_k050_a040,CH-pf080_k050_a040,ch-af-apac-eu-row-us,CH-first,pf080_k050_a040,clean_objective_stage2,0.8,0.5,0.4,12,0.6249764404,apac,one_start_only,eu,EU,2030,35.01769805,261.6210509,90,4.487384814e-09,90,35.01769805,1
ch-af-apac-eu-row-us/pf080_k050_a040,CH-pf080_k050_a040,ch-af-apac-eu-row-us,CH-first,pf080_k050_a040,clean_objective_stage2,0.8,0.5,0.4,12,0.6249764404,apac,one_start_only,us,US,2030,63.82646585,259.4225877,65,7.105179841e-09,64.99999999,63.82646584,0.9999999999
