candidate,region,region_label,component,change_billion_usd_pv
ch-af-apac-eu-row-us/pf080_k050_a040,ch,China,Consumer surplus,1.116802693
ch-af-apac-eu-row-us/pf080_k050_a040,ch,China,Producer surplus,53.18815705
ch-af-apac-eu-row-us/pf080_k050_a040,eu,Europe,Consumer surplus,-233.3134096
ch-af-apac-eu-row-us/pf080_k050_a040,eu,Europe,Producer surplus,64.46806512
ch-af-apac-eu-row-us/pf080_k050_a040,us,United States,Consumer surplus,-176.665515
ch-af-apac-eu-row-us/pf080_k050_a040,us,United States,Producer surplus,33.28189699
ch-af-apac-eu-row-us/pf080_k050_a040,apac,Asia-Pacific,Consumer surplus,-8.753882207
ch-af-apac-eu-row-us/pf080_k050_a040,apac,Asia-Pacific,Producer surplus,135.5470185
ch-af-apac-eu-row-us/pf080_k050_a040,af,Africa,Consumer surplus,-49.05646712
ch-af-apac-eu-row-us/pf080_k050_a040,af,Africa,Producer surplus,21.98771957
ch-af-apac-eu-row-us/pf080_k050_a040,row,Rest of World,Consumer surplus,-133.5678756
ch-af-apac-eu-row-us/pf080_k050_a040,row,Rest of World,Producer surplus,15.70074116
ch-af-apac-eu-row-us/pf080_k100_a030,ch,China,Consumer surplus,1.176729961
ch-af-apac-eu-row-us/pf080_k100_a030,ch,China,Producer surplus,48.05770003
ch-af-apac-eu-row-us/pf080_k100_a030,eu,Europe,Consumer surplus,-249.0653585
ch-af-apac-eu-row-us/pf080_k100_a030,eu,Europe,Producer surplus,40.4565949
ch-af-apac-eu-row-us/pf080_k100_a030,us,United States,Consumer surplus,-165.7384586
ch-af-apac-eu-row-us/pf080_k100_a030,us,United States,Producer surplus,65.8997355
ch-af-apac-eu-row-us/pf080_k100_a030,apac,Asia-Pacific,Consumer surplus,-9.920655623
ch-af-apac-eu-row-us/pf080_k100_a030,apac,Asia-Pacific,Producer surplus,94.39211258
ch-af-apac-eu-row-us/pf080_k100_a030,af,Africa,Consumer surplus,-49.5569885
ch-af-apac-eu-row-us/pf080_k100_a030,af,Africa,Producer surplus,20.47490548
ch-af-apac-eu-row-us/pf080_k100_a030,row,Rest of World,Consumer surplus,-174.4804711
ch-af-apac-eu-row-us/pf080_k100_a030,row,Rest of World,Producer surplus,86.0418182
ch-af-apac-eu-row-us/pf080_k100_a040,ch,China,Consumer surplus,-15.0656126
ch-af-apac-eu-row-us/pf080_k100_a040,ch,China,Producer surplus,155.6813101
ch-af-apac-eu-row-us/pf080_k100_a040,eu,Europe,Consumer surplus,-294.5359499
ch-af-apac-eu-row-us/pf080_k100_a040,eu,Europe,Producer surplus,95.01666323
ch-af-apac-eu-row-us/pf080_k100_a040,us,United States,Consumer surplus,-181.7635066
ch-af-apac-eu-row-us/pf080_k100_a040,us,United States,Producer surplus,107.7663435
ch-af-apac-eu-row-us/pf080_k100_a040,apac,Asia-Pacific,Consumer surplus,-23.43484895
ch-af-apac-eu-row-us/pf080_k100_a040,apac,Asia-Pacific,Producer surplus,43.33094855
ch-af-apac-eu-row-us/pf080_k100_a040,af,Africa,Consumer surplus,-91.60500649
ch-af-apac-eu-row-us/pf080_k100_a040,af,Africa,Producer surplus,35.69866984
ch-af-apac-eu-row-us/pf080_k100_a040,row,Rest of World,Consumer surplus,-170.7550015
ch-af-apac-eu-row-us/pf080_k100_a040,row,Rest of World,Producer surplus,103.5014587
