candidate,region,region_label,consumer_surplus_billion_usd_pv,producer_surplus_billion_usd_pv,capacity_cost_billion_usd_pv
ch-af-apac-eu-row-us/pf080_k050_a040,ch,China,3991.491046,59.81272565,22.75974861
ch-af-apac-eu-row-us/pf080_k050_a040,eu,Europe,1885.137576,64.46806512,12.3261799
ch-af-apac-eu-row-us/pf080_k050_a040,us,United States,637.8161221,33.28189699,19.73076842
ch-af-apac-eu-row-us/pf080_k050_a040,apac,Asia-Pacific,1073.700336,135.8994861,12.08788253
ch-af-apac-eu-row-us/pf080_k050_a040,af,Africa,444.7552938,21.98771957,1.91068968
ch-af-apac-eu-row-us/pf080_k050_a040,row,Rest of World,1522.661642,15.70074116,18.91428012
ch-af-apac-eu-row-us/pf080_k100_a030,ch,China,3991.550973,54.68226863,25.136594
ch-af-apac-eu-row-us/pf080_k100_a030,eu,Europe,1869.385627,40.4565949,8.595373713
ch-af-apac-eu-row-us/pf080_k100_a030,us,United States,648.7431785,65.8997355,11.97810732
ch-af-apac-eu-row-us/pf080_k100_a030,apac,Asia-Pacific,1072.533563,94.74458019,14.55011786
ch-af-apac-eu-row-us/pf080_k100_a030,af,Africa,444.2547725,20.47490548,1.912289591
ch-af-apac-eu-row-us/pf080_k100_a030,row,Rest of World,1481.749047,86.0418182,19.23519703
ch-af-apac-eu-row-us/pf080_k100_a040,ch,China,3975.30863,162.3058787,24.41188939
ch-af-apac-eu-row-us/pf080_k100_a040,eu,Europe,1823.915036,95.01666323,12.2340976
ch-af-apac-eu-row-us/pf080_k100_a040,us,United States,632.7181305,107.7663435,17.76780237
ch-af-apac-eu-row-us/pf080_k100_a040,apac,Asia-Pacific,1059.01937,43.68341616,8.077160048
ch-af-apac-eu-row-us/pf080_k100_a040,af,Africa,402.2067545,35.69866984,1.912289589
ch-af-apac-eu-row-us/pf080_k100_a040,row,Rest of World,1485.474516,103.5014587,19.61322308
ch-af-apac-eu-row-us/pf100_k050_a040,ch,China,3991.491048,129.0479143,24.008103
ch-af-apac-eu-row-us/pf100_k050_a040,eu,Europe,1819.340801,89.48278521,12.27449589
ch-af-apac-eu-row-us/pf100_k050_a040,us,United States,664.5760239,99.18810663,21.86543691
ch-af-apac-eu-row-us/pf100_k050_a040,apac,Asia-Pacific,1064.110954,54.16748669,13.70081711
ch-af-apac-eu-row-us/pf100_k050_a040,af,Africa,423.5440211,27.48819852,1.909647915
