source_experiment,sequence,branch,status,selected_sweep,max_gain_percent,limiting_player,all_six_solves_successful,accepted,order,price_factor,capacity_weight,damping
PF100/PF120 clean three-anchor design,ch-af-apac-eu-row-us,pf100_k050_a030,accepted,14,0.5181402831,apac,True,True,CH-first,1,0.5,0.3
PF100/PF120 clean three-anchor design,ch-af-apac-eu-row-us,pf100_k050_a040,accepted,10,0.5336679649,apac,True,True,CH-first,1,0.5,0.4
PF100/PF120 clean three-anchor design,ch-af-apac-eu-row-us,pf100_k100_a030,no_pass_within_schedule,13,1.481064932,apac,True,False,CH-first,1,1,0.3
PF100/PF120 clean three-anchor design,ch-af-apac-eu-row-us,pf100_k100_a040,accepted,10,0.9607367771,apac,True,True,CH-first,1,1,0.4
PF100/PF120 clean three-anchor design,ch-af-apac-eu-row-us,pf120_k050_a030,accepted,13,0.7902826148,apac,True,True,CH-first,1.2,0.5,0.3
PF100/PF120 clean three-anchor design,ch-af-apac-eu-row-us,pf120_k050_a040,accepted,15,0.80252874,ch,True,True,CH-first,1.2,0.5,0.4
PF100/PF120 clean three-anchor design,ch-af-apac-eu-row-us,pf120_k100_a030,no_pass_within_schedule,12,1.916041976,apac,True,False,CH-first,1.2,1,0.3
PF100/PF120 clean three-anchor design,ch-af-apac-eu-row-us,pf120_k100_a040,accepted,6,0.6265249312,apac,True,True,CH-first,1.2,1,0.4
PF100/PF120 clean three-anchor design,eu-us-af-row-apac-ch,pf120_k050_a040,accepted,9,0.8106346252,apac,True,True,EU-first,1.2,0.5,0.4
PF100/PF120 clean three-anchor design,eu-us-af-row-apac-ch,pf120_k050_a030,accepted,13,0.8094185635,apac,True,True,EU-first,1.2,0.5,0.3
PF100/PF120 clean three-anchor design,eu-us-af-row-apac-ch,pf100_k050_a030,accepted,15,0.8603590553,apac,True,True,EU-first,1,0.5,0.3
PF100/PF120 clean three-anchor design,eu-us-af-row-apac-ch,pf120_k100_a040,accepted,1,0.8948696892,apac,True,True,EU-first,1.2,1,0.4
PF100/PF120 clean three-anchor design,eu-us-af-row-apac-ch,pf100_k050_a040,no_pass_within_schedule,14,2.31145736,apac,True,False,EU-first,1,0.5,0.4
PF100/PF120 clean three-anchor design,eu-us-af-row-apac-ch,pf100_k100_a030,no_pass_within_schedule,15,1.297962173,apac,True,False,EU-first,1,1,0.3
PF100/PF120 clean three-anchor design,eu-us-af-row-apac-ch,pf100_k100_a040,no_pass_within_schedule,7,1.642033528,apac,True,False,EU-first,1,1,0.4
PF100/PF120 clean three-anchor design,eu-us-af-row-apac-ch,pf120_k100_a030,no_pass_within_schedule,14,1.012420207,apac,True,False,EU-first,1.2,1,0.3
PF100/PF120 clean three-anchor design,af-eu-us-apac-row-ch,pf100_k050_a030,no_pass_within_schedule,13,1.141053219,apac,True,False,AF-first,1,0.5,0.3
PF100/PF120 clean three-anchor design,af-eu-us-apac-row-ch,pf100_k100_a040,accepted,12,0.8041774943,apac,True,True,AF-first,1,1,0.4
PF100/PF120 clean three-anchor design,af-eu-us-apac-row-ch,pf100_k050_a040,accepted,12,0.9745364142,ch,True,True,AF-first,1,0.5,0.4
PF100/PF120 clean three-anchor design,af-eu-us-apac-row-ch,pf120_k050_a030,accepted,13,0.9517448123,apac,True,True,AF-first,1.2,0.5,0.3
PF100/PF120 clean three-anchor design,af-eu-us-apac-row-ch,pf100_k100_a030,no_pass_within_schedule,14,1.581895842,apac,True,False,AF-first,1,1,0.3
