sequence,order_label,sweep,movement_percent,raw_best_response_move_percent,all_solves_acceptable,stable_count,final_status,solve_quality
af-eu-us-apac-row-ch,AF–EU–US–APAC–ROW–CH,1,79.99999999,99.99999998,True,0,converged_after_continuation,no_saved_solve_failure_flag
af-eu-us-apac-row-ch,AF–EU–US–APAC–ROW–CH,2,46.11983032,72.06223488,True,0,converged_after_continuation,no_saved_solve_failure_flag
af-eu-us-apac-row-ch,AF–EU–US–APAC–ROW–CH,3,168.7694098,263.7022028,True,0,converged_after_continuation,no_saved_solve_failure_flag
af-eu-us-apac-row-ch,AF–EU–US–APAC–ROW–CH,4,101.3543104,105.6256695,True,0,converged_after_continuation,no_saved_solve_failure_flag
af-eu-us-apac-row-ch,AF–EU–US–APAC–ROW–CH,5,33.79094785,21.12513401,True,0,converged_after_continuation,no_saved_solve_failure_flag
af-eu-us-apac-row-ch,AF–EU–US–APAC–ROW–CH,6,9.462206724,7.707560877,True,0,converged_after_continuation,no_saved_solve_failure_flag
af-eu-us-apac-row-ch,AF–EU–US–APAC–ROW–CH,7,4.993183424,6.608625121,True,0,converged_after_continuation,no_saved_solve_failure_flag
af-eu-us-apac-row-ch,AF–EU–US–APAC–ROW–CH,8,4.113131065,5.784090561,True,0,converged_after_continuation,no_saved_solve_failure_flag
af-eu-us-apac-row-ch,AF–EU–US–APAC–ROW–CH,9,3.428370968,5.142556452,True,0,converged_after_continuation,no_saved_solve_failure_flag
af-eu-us-apac-row-ch,AF–EU–US–APAC–ROW–CH,10,16.50926452,42.11068555,True,0,converged_after_continuation,no_saved_solve_failure_flag
af-eu-us-apac-row-ch,AF–EU–US–APAC–ROW–CH,11,16.57274226,46.74771443,True,0,converged_after_continuation,no_saved_solve_failure_flag
af-eu-us-apac-row-ch,AF–EU–US–APAC–ROW–CH,12,19.76952576,46.19501512,True,0,converged_after_continuation,no_saved_solve_failure_flag
af-eu-us-apac-row-ch,AF–EU–US–APAC–ROW–CH,13,20.59036433,45.34898506,True,0,converged_after_continuation,no_saved_solve_failure_flag
af-eu-us-apac-row-ch,AF–EU–US–APAC–ROW–CH,14,19.54364514,50.50555108,True,0,converged_after_continuation,no_saved_solve_failure_flag
af-eu-us-apac-row-ch,AF–EU–US–APAC–ROW–CH,15,15.41344324,35.26012917,True,0,converged_after_continuation,no_saved_solve_failure_flag
