candidate,candidate_code,sequence,order,branch,origin,price_factor,capacity_weight,damping,selected_sweep,max_gain_percent,limiting_player,multistart_status,region,region_label,year,capacity_gw,price_usd_per_kw,demand_gw,domestic_output_gw,imports_gw,exports_gw,import_share
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,ch,China,2025,931,163.324,324,324,4.40711745e-09,111.6,1.360221435e-11
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,af,Africa,2025,3.4,248.5090571,10,3.402582351e-09,9.999999996,3.399999996,0.9999999997
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,eu,EU,2025,22,294.1733321,75,1.174543446e-08,74.99999999,1.211780885e-08,0.9999999998
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,us,US,2025,42,293.7491228,45,3.342420881e-09,45,6.914774769e-09,0.9999999999
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,apac,APAC,2025,110,194.534241,50,49.99999999,6.592849324e-09,59.99999999,1.318569865e-10
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,row,ROW,2025,293,293.5978116,45,1.540568519e-09,45,4.675856091e-09,1
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,ch,China,2030,525.0738867,107.7909239,350,349.9999996,3.489107983e-07,135.8742461,9.968879952e-10
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,af,Africa,2030,0.6431990234,229.717223,13.99999999,3.037305323e-07,13.99999969,0.6431986662,0.9999999783
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,eu,EU,2030,0.001273964878,255.5057732,89.99999999,0.001272227126,89.99872776,1.649282936e-06,0.9999858641
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,us,US,2030,0.003666073881,248.9109143,64.99999998,0.003664190737,64.99633579,1.717859308e-06,0.9999436278
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,apac,APAC,2030,172.3329595,136.9022271,84.99999998,84.9999995,4.801068734e-07,87.33295941,5.648316158e-09
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,row,ROW,2030,15.1446568,252.7077959,69.99999999,15.14465344,54.85534655,3.028361234e-06,0.7836478079
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,ch,China,2035,515.9525201,95.908833,333,333,9.452389381e-09,131.3093588,2.83855537e-11
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,af,Africa,2035,0.61129037,189.8925819,20,2.03294641e-08,19.99999998,0.6112903481,0.999999999
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,eu,EU,2035,0.0004289972023,205.1420616,95,0.0004289690478,94.99957103,2.260973862e-08,0.9999954845
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,us,US,2035,0.002394713744,206.3403643,70,0.0023946854,69.99760531,2.376009112e-08,0.9999657902
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,apac,APAC,2035,235.0765271,112.1078515,103,103,1.080479872e-08,132.076527,1.049009584e-10
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,row,ROW,2035,15.09580637,205.4820897,79,8.829584782e-08,78.99999991,3.939576761e-08,0.9999999989
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,ch,China,2040,514.0976569,86.65125723,316,315.9999998,1.813697681e-07,108.9156091,5.739549624e-10
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,af,Africa,2040,0.6527350313,248.0473843,28,5.058173506e-07,27.99999949,0.6527345021,0.9999999819
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,eu,EU,2040,0.0001023386862,263.374174,98.99999999,0.00010177648,98.99989822,5.263679984e-07,0.999998972
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,us,US,2040,0.001727768915,264.0194964,74.99999999,0.001726909547,74.99827308,8.23094854e-07,0.9999769745
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,apac,APAC,2040,292.340693,110.2384394,126,125.9999998,1.649627479e-07,166.3406928,1.309228158e-09
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,row,ROW,2040,15.08913342,262.6043112,88.99999999,15.08913207,73.91086792,1.294990571e-06,0.8304591902
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,low_price_reinitialization,0.8,1,0.4,12,0.6054652146,ch,not_yet_audited,ch,China,2025,931,163.324,324,324,2.566511602e-08,111.5999999,7.921332104e-11
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,low_price_reinitialization,0.8,1,0.4,12,0.6054652146,ch,not_yet_audited,af,Africa,2025,3.4,265.8118586,9.999999999,4.057432263e-08,9.999999959,3.399999954,0.9999999959
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,low_price_reinitialization,0.8,1,0.4,12,0.6054652146,ch,not_yet_audited,eu,EU,2025,22,286.9743891,75,4.611960585e-08,74.99999995,7.86359144e-08,0.9999999994
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,low_price_reinitialization,0.8,1,0.4,12,0.6054652146,ch,not_yet_audited,us,US,2025,42,282.7344765,45,1.351684503e-08,44.99999998,3.922951201e-08,0.9999999997
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,low_price_reinitialization,0.8,1,0.4,12,0.6054652146,ch,not_yet_audited,apac,APAC,2025,110,196.6829843,50,49.99999995,5.25353737e-08,60,1.050707474e-09
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,low_price_reinitialization,0.8,1,0.4,12,0.6054652146,ch,not_yet_audited,row,ROW,2025,293,293.4566154,45,9.083132582e-09,44.99999999,2.632304585e-08,0.9999999998
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,low_price_reinitialization,0.8,1,0.4,12,0.6054652146,ch,not_yet_audited,ch,China,2030,521.9343507,107.7909238,350,350,3.266807674e-08,137.7275083,9.333736211e-11
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,low_price_reinitialization,0.8,1,0.4,12,0.6054652146,ch,not_yet_audited,af,Africa,2030,0.8326524857,233.6756354,14,3.493081284e-08,13.99999996,0.8326524454,0.9999999975
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,low_price_reinitialization,0.8,1,0.4,12,0.6054652146,ch,not_yet_audited,eu,EU,2030,0.00131504916,262.6035854,90,0.001314957028,89.99868504,8.226670171e-08,0.9999853894
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,low_price_reinitialization,0.8,1,0.4,12,0.6054652146,ch,not_yet_audited,us,US,2030,0.003741430144,258.1055198,65,0.003741273776,64.99625872,1.434186652e-07,0.9999424419
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,low_price_reinitialization,0.8,1,0.4,12,0.6054652146,ch,not_yet_audited,apac,APAC,2030,173.2137249,137.686444,85,84.99999995,5.04629098e-08,88.21372495,5.936812918e-10
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,low_price_reinitialization,0.8,1,0.4,12,0.6054652146,ch,not_yet_audited,row,ROW,2030,12.22105794,262.1027404,70,12.22105772,57.77894228,1.971643334e-07,0.8254134612
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,low_price_reinitialization,0.8,1,0.4,12,0.6054652146,ch,not_yet_audited,ch,China,2035,519.2846208,95.90883301,333,333,4.180316358e-08,119.5388271,1.255350258e-10
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,low_price_reinitialization,0.8,1,0.4,12,0.6054652146,ch,not_yet_audited,af,Africa,2035,0.7860854361,213.2704006,20,8.462686801e-08,19.99999991,0.7860853442,0.9999999958
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,low_price_reinitialization,0.8,1,0.4,12,0.6054652146,ch,not_yet_audited,eu,EU,2035,0.0007479828363,230.637587,95,0.0007478818824,94.99925212,8.692626172e-08,0.9999921276
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,low_price_reinitialization,0.8,1,0.4,12,0.6054652146,ch,not_yet_audited,us,US,2035,0.002284148083,225.5668806,70,0.002283738837,69.99771626,3.899644615e-07,0.9999673752
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,low_price_reinitialization,0.8,1,0.4,12,0.6054652146,ch,not_yet_audited,apac,APAC,2035,234.4598034,121.6520926,103,102.9999999,6.760400158e-08,131.4598034,6.563495299e-10
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,low_price_reinitialization,0.8,1,0.4,12,0.6054652146,ch,not_yet_audited,row,ROW,2035,12.21225209,231.802103,79,12.21225186,66.78774814,1.997612434e-07,0.8454145335
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,low_price_reinitialization,0.8,1,0.4,12,0.6054652146,ch,not_yet_audited,ch,China,2040,516.621365,86.65125723,316,315.9999998,2.309929465e-07,108.6586496,7.30990337e-10
